Date,DHI,DNI,GHI,Horizontal UVI<400nm,Solar Zenith,Cloud Type,Relative Humidity,Temperature,Precipitable Water,SOLAR
2019-08-11 14:00:00,107,891,803,47.928,38.65,0,20.69,34.6,1.7,10916
2019-08-11 15:00:00,98,843,635,36.6244,50.44,0,19.62,34.5,1.6,10665
2019-08-11 16:00:00,84,756,432,23.4286,62.63,0,20.35,32.9,1.5,9931
2019-08-11 17:00:00,63,590,217,10.6281,74.82,0,22.67,30.3,1.4,8189
2019-08-11 18:00:00,23,199,35,0.0,86.65,0,26.82,27.1,1.3,4208
2019-08-11 19:00:00,0,0,0,0.0,98.32,0,29.14,25.3,1.2,488
2019-08-11 20:00:00,0,0,0,0.0,108.91,0,29.59,24.3,1.2,1
2019-08-11 21:00:00,0,0,0,0.0,118.12,0,29.52,23.5,1.1,0
2019-08-11 22:00:00,0,0,0,0.0,125.18,0,29.29,22.7,1.1,0
2019-08-11 23:00:00,0,0,0,0.0,129.16,0,29.26,21.8,1.1,0
2019-08-12 00:00:00,0,0,0,0.0,129.32,0,29.31,21.1,1.1,0
2019-08-12 01:00:00,0,0,0,0.0,125.62,0,30.64,20.4,1.1,0
2019-08-12 02:00:00,0,0,0,0.0,118.77,0,33.23,19.8,1.1,0
2019-08-12 03:00:00,0,0,0,0.0,109.71,0,36.33,19.3,1.1,0
2019-08-12 04:00:00,0,0,0,0.0,99.2,0,38.94,19.2,1.1,0
2019-08-12 05:00:00,17,153,24,0.0,87.54,0,36.77,21.0,1.2,0
2019-08-12 06:00:00,58,590,203,9.8598,75.8,0,31.35,24.4,1.2,530
2019-08-12 07:00:00,80,766,420,22.6235,63.63,0,26.65,27.6,1.2,4450
2019-08-12 08:00:00,94,857,628,36.082,51.44,0,21.69,30.5,1.2,8604
2019-08-12 09:00:00,106,904,802,47.7626,39.63,0,17.78,33.0,1.2,10101
2019-08-12 10:00:00,116,929,929,56.4154,28.99,0,14.77,35.1,1.1,10759
2019-08-12 11:00:00,120,944,998,61.14,21.6,0,12.21,37.0,1.1,11037
2019-08-12 12:00:00,120,943,999,61.2184,21.31,0,10.37,38.3,1.1,11109
2019-08-12 13:00:00,120,926,935,56.8306,28.35,0,9.33,38.9,1.1,11111
2019-08-12 14:00:00,113,894,809,48.2626,38.87,0,9.06,38.8,1.2,11005
2019-08-12 15:00:00,103,842,637,36.7121,50.64,0,9.18,38.5,1.2,10637
2019-08-12 16:00:00,88,746,429,23.2365,62.82,0,10.5,36.4,1.3,9870
2019-08-12 17:00:00,65,569,212,10.365,75.02,0,13.21,33.0,1.3,8131
2019-08-12 18:00:00,23,166,32,0.0,86.85,0,17.36,29.3,1.4,4004
2019-08-12 19:00:00,0,0,0,0.0,98.54,0,19.63,27.5,1.4,454
2019-08-12 20:00:00,0,0,0,0.0,109.16,0,20.03,26.8,1.5,4
2019-08-12 21:00:00,0,0,0,0.0,118.39,0,20.61,25.9,1.5,0
2019-08-12 22:00:00,0,0,0,0.0,125.47,0,21.23,25.0,1.5,0
2019-08-12 23:00:00,0,0,0,0.0,129.47,0,21.79,24.2,1.5,0
2019-08-13 00:00:00,0,0,0,0.0,129.61,0,22.3,23.5,1.6,0
2019-08-13 01:00:00,0,0,0,0.0,125.88,0,23.86,22.9,1.6,0
2019-08-13 02:00:00,0,0,0,0.0,119.0,0,26.4,22.3,1.5,0
2019-08-13 03:00:00,0,0,0,0.0,109.9,0,28.36,21.9,1.5,0
2019-08-13 04:00:00,0,0,0,0.0,99.37,0,29.32,21.9,1.5,0
2019-08-13 05:00:00,17,137,23,0.0,87.68,0,26.69,23.9,1.5,0
2019-08-13 06:00:00,60,562,197,9.5583,75.93,0,22.12,27.5,1.4,514
2019-08-13 07:00:00,83,747,413,22.2279,63.75,0,17.58,31.5,1.4,4398
2019-08-13 08:00:00,97,842,620,35.6042,51.57,0,13.76,35.0,1.4,8528
2019-08-13 09:00:00,103,903,797,47.4473,39.79,0,11.04,37.7,1.4,10056
2019-08-13 10:00:00,104,943,927,56.2779,29.19,0,9.2,39.7,1.3,10699
2019-08-13 11:00:00,108,955,994,60.8782,21.88,0,7.89,41.2,1.3,10955
2019-08-13 12:00:00,110,952,995,60.955,21.62,0,7.09,42.1,1.3,10934
2019-08-13 13:00:00,108,936,930,56.5063,28.61,0,6.65,42.5,1.3,10968
2019-08-13 14:00:00,105,906,808,48.1792,39.09,0,6.64,42.2,1.3,10881
2019-08-13 15:00:00,95,855,635,36.5676,50.85,0,6.77,41.9,1.3,10494
2019-08-13 16:00:00,81,767,429,23.2052,63.02,0,7.76,39.7,1.3,9751
2019-08-13 17:00:00,60,597,212,10.3462,75.23,0,9.88,36.0,1.3,7978
2019-08-13 18:00:00,21,194,31,0.0,87.06,0,13.41,31.9,1.3,3852
2019-08-13 19:00:00,0,0,0,0.0,98.77,0,15.89,29.9,1.3,344
2019-08-13 20:00:00,0,0,0,0.0,109.41,0,17.98,28.8,1.3,0
2019-08-13 21:00:00,0,0,0,0.0,118.66,0,20.01,27.9,1.4,0
2019-08-13 22:00:00,0,0,0,0.0,125.77,0,22.16,27.1,1.4,0
2019-08-13 23:00:00,0,0,0,0.0,129.77,0,24.35,26.4,1.4,0
2019-08-14 00:00:00,0,0,0,0.0,129.91,0,26.4,25.8,1.4,0
2019-08-14 01:00:00,0,0,0,0.0,126.15,0,28.16,25.0,1.4,0
2019-08-14 02:00:00,0,0,0,0.0,119.22,0,29.15,24.3,1.4,0
2019-08-14 03:00:00,0,0,0,0.0,110.09,0,29.81,23.7,1.4,0
2019-08-14 04:00:00,0,0,0,0.0,99.53,0,29.53,23.5,1.4,0
2019-08-14 05:00:00,18,161,24,0.0,87.81,0,25.62,25.4,1.3,0
2019-08-14 06:00:00,55,596,199,9.6453,76.06,0,19.8,29.2,1.3,475
2019-08-14 07:00:00,76,772,416,22.3689,63.88,0,14.63,33.0,1.3,4354
2019-08-14 08:00:00,90,862,624,35.814,51.71,0,11.18,36.4,1.3,8496
2019-08-14 09:00:00,101,910,799,47.5497,39.94,0,9.53,38.9,1.3,9999
2019-08-14 10:00:00,109,936,925,56.1403,29.39,0,8.36,40.8,1.3,10623
2019-08-14 11:00:00,113,951,994,60.8619,22.15,0,7.38,42.3,1.2,10855
